metric,value,threshold,status
torso_pos_err_peak_mm,527.528577,10.000000,FAIL
torso_ori_err_peak_deg,178.579685,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,42.172959,15.000000,FAIL
hw_saturation_ratio_peak,1.397340,1.000000,FAIL
hw_saturation_ratio_rms,0.804077,0.700000,FAIL
platform_rotation_total_deg,10.592595,5.000000,FAIL
platform_omega_peak_deg_s,1.057166,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.880109,0.950000,FAIL
nmpc_infeasibility_rate,0.089918,0.020000,FAIL
